# ID           RA              DEC              zmag_auto     zmag_col      Ks_col        z50              z025             z975             zspec            lmass         density
G016834        27.968167       -14.191397       21.0275       21.1960       18.8586       0.80550000       0.79100000       0.81920000       0.78250003       10.2088      0.958421
G016697        28.127122       -14.190808       23.0693       23.0464       20.8674       0.80440000       0.78640000       0.83240000       -1.0000000       9.49293       24.2716
G016676        28.257089       -14.191187       22.6721       22.6535       20.9317       0.74890000       0.74060000       0.75680000       -1.0000000       9.26726       2.61995
G016759        28.248733       -14.190716       23.2166       23.2206       20.3508       0.86640000       0.84870000       0.90210000       -1.0000000       9.65366       6.27540
G016683        28.246348       -14.190551       22.1077       22.1054       19.1970       0.81430000       0.81010000       0.90440000       -1.0000000       10.6219       17.2644
G016864        28.257400       -14.190641       21.9432       21.9499       18.7230       0.61340000       0.59830000       0.62850000       -1.0000000       10.1773       9.06123
G016900        28.294396       -14.191513       22.0239       22.1614       20.5546       0.63810000       0.63070000       0.64670000       -1.0000000       9.34857       3.08486
G016867        28.120793       -14.191226       21.8474       21.9807       18.9178       0.80310000       0.79590000       0.80970000       -1.0000000       10.4816       28.8222
G016953        28.269245       -14.191654       20.9119       21.0867       18.2095       0.67300000       0.66140000       0.68470000       -1.0000000       10.6256       3.22433
G017055        28.248642       -14.191371       21.9080       21.9969       19.1243       0.81370000       0.80280000       0.82550000       -1.0000000       10.5244       16.5736
G016960        28.079398       -14.190057       22.4983       22.6773       21.0943       0.61950000       0.61320000       0.62550000       -1.0000000       9.23259      0.997999
G017058        28.043861       -14.190487       21.8879       22.0919       19.1176       0.78720000       0.75350000       0.86570000       -1.0000000       10.4650       48.6939
G017198        28.149811       -14.188422       22.9517       23.0506       19.5201       0.82520000       0.71710000       0.89230000       -1.0000000       10.0316       2.67704
G016981        28.130631       -14.189822       23.1355       23.3016       21.8787       0.63630000       0.62210000       0.64800000       -1.0000000       9.12147       2.30598
G017086        28.160512       -14.190210       21.3613       21.4640       19.2954       0.65630000       0.64570000       0.66800000       -1.0000000       9.94207       1.00368
G017066        28.075153       -14.191361       20.8491       21.0743       18.0527       0.84260000       0.83010000       0.85450000       -1.0000000       10.8604       2.99816
G017099        27.978290       -14.188776       22.9808       22.9954       20.8904       0.63560000       0.62700000       0.64410000       -1.0000000       9.38756       1.17932
G016970        28.301077       -14.191561       20.2814       20.3895       17.9576       0.85850000       0.85250000       0.86470000       -1.0000000       10.8314       2.84486
G017218        28.132049       -14.189178       21.8837       21.9374       18.7963       0.78250000       0.75620000       0.82650000       -1.0000000       10.6458       12.7249
G017227        28.363870       -14.188526       22.7407       22.8307       19.9881       0.81920000       0.73770000       0.88530000       -1.0000000       10.1777      0.819432
G017374        28.108365       -14.188164       22.6721       22.7634       20.5841       0.69660000       0.68560000       0.70750000       -1.0000000       9.31322       4.58047
G017391        28.378231       -14.187799       22.5408       22.5556       99.0000       0.83170000       0.81070000       0.85880000       -1.0000000       10.4337      0.544340
G017423        28.089866       -14.187778       23.0769       23.0580       21.8885       0.60840000       0.60060000       0.61590000       -1.0000000       9.36337       1.19608
G017424        28.151938       -14.187932       22.6003       22.5868       20.2794       0.86510000       0.84720000       0.88690000       -1.0000000       9.94619       1.48865
